Group,SubGroup,Information Text,Source(url),Source_Type,Lookup_Key
Dining/food,Dining_Halls,"Campus Roots at 60 Belvidere
Outtakes at Stetson West (10 points/meal)
The Eatery at Stetson East
The Market at 60 Belvidere Street ($14/meal swipe)
United Table at International Village",https://huskycard.northeastern.edu/dining-halls/,Official,Dining_food_Dining_Halls
Dining/food,Retail_Dining,"Choolaah (Curry Student Center)
D’Angelo’s (Curry Student Center)
Dunkin’ (Hayden Hall, Shillman Hall)
Equator Coffees at Snell Library
Faculty Club (EXP)
The Halal Shack (Curry Student Center)
Juicygreens (International Village South)
Kigo Kitchen (Curry Student Center)
the Market at Curry Student Center
Modern Market (Churchill Hall)
Popeyes (Curry Student Center)
Sal’s Pizza (Curry Student Center)
Starbucks (Curry Student Center, Churchill Hall)
Subway (Ryder Hall)Anna’s Taqueria (Marino Center)
Fuel America (ISEC)
Saxbys (EXP)
Tatte Bakery and Cafe (Marino Center)
Wollaston’s Market (Marino Center, West Village B)",https://huskycard.northeastern.edu/dining-halls/,Official,Dining_food_Retail_Dining
Dining/food,Allergy_Info,"Dining locations strive to suit every student’s needs. All food allergies and special food requests should be disclosed to a Northeastern Dining Administrator prior to each term. Please contact the campus Registered Dietician team at nudietitians@northeastern.edu for questions or concerns regarding menus, allergies, or for information on navigating resources.
Medical concerns regarding dining and meal plan requirements must be registered through the Disability Access Services in Boston or Oakland for review. Religious concerns must be submitted to the Center for Spirituality, Dialogue, & Service for review.
For religious-related dietary restrictions, please reach out to the Center for Spirituality, Dialogue, and Service at csdsaccommodations@northeastern.edu to initiate their review process. Once submitted through CSDS, conversations with Northeastern Dining’s Dietitian team and CSDS Spiritual Advisors and staff will be scheduled.  ",https://huskycard.northeastern.edu/meal-plan-policies-2024/?utm_source=chatgpt.com,Official,Dining_food_Allergy_Info
Dining/food,Contact_Info,"Boston
4 Speare Commons - Lower Level
Mon-Fri 8:30 AM — 4:30 PM
617.373.8740 (EST)
huskycard@northeastern.edu
mealplan@northeastern.edu nudietitians@northeastern.edu",https://huskycard.northeastern.edu/on-campus-vendors/,Official,Dining_food_Contact_Info
Dining/food,Plan_Cost,"Boston traditional meal plan options range from unlimited meals per semester for maximum coverage, to fixed numbers of meals for added flexibility and value. Traditional meal plans are designed for students living in meal plan-required housing, but are open to any student who plans to eat the majority of their meals at our Residential Dining locations. Your meals can be used at any time and during any meal period based on your schedule. NU – Unlimited includes unlimited meals per semester for $4,450, along with $400 in Dining Dollars and 10 guest passes. NU – 225 includes 225 meals for $4,450 with $600 in Dining Dollars and 10 guest passes. NU – 180 includes 180 meals for $3,935 with $300 in Dining Dollars and 10 guest passes. NU – 150 includes 150 meals for $3,465 with $200 in Dining Dollars and 10 guest passes. NU – 100 includes 100 meals for $2,800 with $200 in Dining Dollars and 10 guest passes.",https://huskycard.northeastern.edu/traditional-meal-plans/,Official,Dining_food_Plan_Cost
Dining/food,Food_Options,"In Boston and Oakland, dining locations include traditional buffet-style dining halls, on-campus cafés, and grab-and-go options.",https://admissions.northeastern.edu/student-life/dining-on-campus/,Official,Dining_food_Food_Options
Housing,Housing_Cost,"First-year housing costs vary depending on building style and room type. For traditional-style halls, single rooms are the most expensive at $6,510 per semester (or $5,680 in Kerr Hall), while double rooms run $5,680, triples around $5,205–$5,315, and economy options (economy doubles, triples, and quads) range from $4,220 to $4,555 — making them the most affordable choices.
For suite-style housing, International Village and East Village charge $7,275 for a single bedroom (the highest rate available), $6,220 for double bedrooms, and $5,315 for triple bedrooms. East Village single bedrooms are reserved exclusively for students with documented housing accommodations.
153 Hemenway stands out as offering some of the widest range of options, from a $5,680 double room down to a $4,220 economy quad. Hastings Hall only offers single and double rooms at $6,510 and $5,680 respectively.
All rates are charged per semester, and all first-year housing is meal plan required. Students in traditional halls (no kitchens) must have at least the 180 Meal Plan, while those in apartment-style buildings need at least the 150 Meal Plan. Room assignments, buildings, and pricing are all subject to change at the university's discretion. For Upperclassmen, Apartment-Style Housing is the most common option and spans three tiers. Enhanced apartments (typically featuring living rooms, central air, and elevator access) run $7,475 for a single bedroom and $6,315 for a double. Standard apartments (with living rooms but fewer amenities) are $6,840 for a single and $5,480 for a double. Economy apartments (no living room) come in at $5,815 for a single. Studio apartments — where the bedroom and living area are combined — range from $9,075–$9,295 for a single studio and around $6,840 for a double studio, though some studio singles are reserved exclusively for students with documented housing accommodations.
Suite-Style Housing includes Enhanced and Standard options. Enhanced suites at buildings like Davenport Commons, West Village, and East Village are the priciest non-studio option at $8,855 for a single bedroom and $7,720 for a double. Standard suites (International Village, East Village) run $7,275 for a single down to $5,315 for a triple bedroom.
Traditional-Style Housing (shared floor bathrooms, meal plan required) is the most affordable upperclassman option, with Hastings Hall offering singles at $6,510 and doubles at $5,680. The Fairwoods offers the lowest rate on the entire chart at $4,725 for a triple bedroom.
Leased Properties (LP) function like university-owned buildings for billing purposes but lack Husky Card access and require students to arrange their own internet. They span all price tiers depending on the specific property.
Continuing students in meal-plan-required buildings need at least the 100 Meal Plan, while first-year students in those buildings need the 180 Meal Plan minimum.                                                                                                                                                  ",https://housing.northeastern.edu/rates/,Official,Housing_Housing_Cost
Housing,Layout_Info,"Each room comes with a bed frame, mattress (twin XL), desk, desk chair and dresser
Since each room is unique, we are unable to provide square footage/measurements of individual rooms
All Northeastern University housing is smoke-free
Common community spaces, in most halls, can be used for studying, group projects or student activities Traditional Style accommodations are corridor rooms with shared communal bathrooms. These accommodations are historically filled with traditional First Year Boston students. Suite Style accommodations are bedrooms that share or are adjoined by a private bath. While some of our first year students live in suite-style housing accommodations, suite style housing makes up a large portion of our continuing student housing stock. Apartment Style accommodations have kitchens and in unit bathrooms. Many continuing students live in apartment style housing, as well as some returning NUin students. ",https://housing.northeastern.edu/university-housing/,Official,Housing_Layout_Info
Housing,Off_Campus,"Off Campus Engagement and Support (OCES) at Northeastern provides educational programming and engagement opportunities to learners living off campus in Boston and throughout Northeastern’s network. We are dedicated to connecting students to their community, fostering campus engagement, and providing education and resources to support students in Boston’s neighborhoods.  ",https://offcampus.housing.northeastern.edu/get-involved/about/,Official,Housing_Off_Campus
Housing ,Contact_Info,"housing@northeastern.edu
617-373-2814",https://housing.northeastern.edu/,Official,Housing_Contact_Info
Student_Amenities/Activities,Gym,"The Marino Recreation Center and the SquashBusters Center are the main recreational facilities at Northeastern University.  Additionally the following shared facilities are also for recreational use:

The Cabot Center, which houses the swimming pool, indoor cage, and raquetball courts
Matthews Arena, for open skate and Intramural Sports use
Carter Field, for Intramural Sports
Wiffleball Field
Sand Volleyball Court",https://recreation.northeastern.edu/facilities-hours/,Official,Student_Amenities_Activities_Gym
Student_Amenities/Activities,Student_Activities_Fees,"An $30 fee will be assessed per semester for all students enrolled at Northeastern’s Boston campus. The fee covers admission to home athletic events, use of the Marino Fitness Center, SquashBusters athletic facility, and the Cabot Gym. This fee also supports the future construction of athletic fields and facilities.",https://bachelors-completion.northeastern.edu/tuition-financial-aid/tuition-fees/,Official,Student_Amenities_Activities_Student_Activities_Fees
Student_Amenities/Activities,Clubs,"Northeastern is home to more than 600 student clubs and organizations across our undergraduate campus network. Meet new people, find a new hobby, and be a part of something great.

Student clubs and organizations, including the Student Government Association, provide a venue for you to develop your leadership potential. Academic and professional societies connect you to a network of accomplished professionals in your field. You’ll also find athletic clubs, performing arts groups, cultural organizations, and more at Northeastern.

A current list of clubs to lookup can be found at: engage.northeatern.edu/club_signup",https://admissions.northeastern.edu/student-life/student-clubs-and-organizations/|https://engage.northeastern.edu/club_signup,Official,Student_Amenities_Activities_Clubs
Student_Amenities/Activities,Game_Rooms,"The Paws Play Game Room is the perfect place to take a break between classes or hang out on the weekends. The Paws Play Game Room is located on the 4th floor of the Curry Student Center. It features 6 pool tables, 2 table tennis tables, 3 video game stations(2 PS5s, XBOX and Switch 2) and a board gaming table.",https://curry.sites.northeastern.edu/paws-play-game-room/,Official,Student_Amenities_Activities_Game_Rooms
Student_Amenities/Activities,Volunteering  ,"Volunteering is an exceptional opportunity for members of the Northeastern community to show their support for the university. The opportunities to volunteer are virtually endless. You can help plan an event, host a gathering, mentor a student, or simply engage with us through social or digital channels.

Whatever shape your involvement takes and regardless of how much time you have to offer, rest assured that your contribution will significantly impact those around you. We will work with you to align the best opportunities with your skills and ideas.",https://alumni.northeastern.edu/about/about-us/volunteer/,Official,Student_Amenities_Activities_Volunteering
Student_Amenities/Activities,Contact_Info,"If you have a University Recreation policy related question or a situation specific to your needs that requires further inquiry, please contact us at recreation@northeastern.edu and the appropriate team member will contact you.

Center of Student Involvement contacts:
General inbox: nucsi@northeastern.edu
617-373-2642
CSI Office hours:
Monday 1-5pm
Tuesday 10am-3pm 
Thursday 3-7pm
Friday 10am-3pm
Virtual or In-Person – walk-ins welcome!
Student Organization Suites CSC240
Tue and Thu 12-1pm no staff present",https://recreation.northeastern.edu/policies/|https://csi.studentlife.northeastern.edu/,Official,Student_Amenities_Activities_Contact_Info
Safety,Redeye  ,"On-demand ride-sharing service created specifically for Northeastern University students who live off-campus within a 1.5-mile radius of Snell Library. Using this app, eligible students can easily request a ride from campus, view estimated pickup times, track their driver’s location in real time, and receive live trip updates for a safer, more reliable commuting experience.",https://play.google.com/store/apps/details?id=com.liftango.northeastern&hl=en_US,Unofficial,Safety_Redeye
Safety,Security_App,SafeZone is a smart phone app that any student or staff member can download and use for free. This App will connect you directly to the Northeastern University Police Department should you need our assistance or emergency support while you are on campus.,https://nupd.northeastern.edu/safezone/,Official,Safety_Security_App
Safety,Campus_Escort,"The Public Safety Division is committed to working with Northeastern University faculty, students, staff, and neighbors to build relationships and keep
our campus thriving. Our work extends far beyond Boston, as we support learners in their academic and experiential endeavors around the world. The
Public Safety Division is comprised of three sections: Police Department, Emergency Management, and International Safety.
The Northeastern University Police Department (https://nupd.northeastern.edu/) is a full-service and accredited police agency that comprises patrol
and investigative divisions providing 24-hour service. NUPD has developed robust crime-detection and prevention strategies centered on technology
and campus community engagement. Our well-trained officers are ready and willing to assist all members of our community.
A personal safety escort (https://nupd.northeastern.edu/our-services/safety-escort-services/) can be provided from one Boston on-campus location
to another, any time of day, whenever personal safety is a concern. You'll need to provide your name, Northeastern ID number, and location.  Safety
escorts usually arrive in 10 to 15 minutes. A special, nighttime off-campus escort service, called the RedEye, runs from dusk to dawn to transport
students to their residence within two miles from the center of the Boston campus. Every night from 5 p.m. until 6 a.m., the RedEye van will pick
students up at Egan Access Road, behind Snell Library. In order to use this escort, you must book a ride in advance using the RedEye app, or you can
book a ride at the RedEye dispatch center located at the Northeast Security office in the Ruggles Substation.",https://catalog.northeastern.edu/professional-studies/information-entering-students/public-safety/public-safety.pdf,Official,Safety_Campus_Escort
Safety,Card_Entry,"Along with identification, the Husky Card is also used for building/residence hall access, parking, printing, vending, dining services, library book check-out, discounts and more. The Husky Card can also be used as a pre-paid payment card. When you add money to your Husky Dollar account, you will be able to pay for food and services at many locations in and around the University. Please note that no cash withdrawals are permitted with a Husky Card.",https://huskycard.northeastern.edu/,Official,Safety_Card_Entry
Safety,Contact_Info,Emergency: 617-373-3333 Non-Emergenc: 617-373-2121,https://nupd.northeastern.edu/,Official,Safety_Contact_Info
Athletics,Varsity_Sports,"Our students work tremendously hard—and our 19 Division I athletic teams in Boston play even harder. Cheer on Northeastern’s men’s and women’s ice hockey as they go for the Beanpot or catch a basketball game at historic Matthews Arena. Our teams are among the most successful in New England and host some of the biggest collegiate events each year. #HowlinHuskies!

List of Varsity Sports:
Baseball
Men’s Basketball
Women’s Basketball
Men’s Cross Country
Women’s Cross Country
Field Hockey
Men’s Ice Hockey
Women’s Ice Hockey
Men’s Rowing
Women’s Rowing
Men’s Soccer
Women’s Soccer
Swimming & Diving
Men’s Track and Field
Women’s Track and Field
Volleyball",https://admissions.northeastern.edu/student-life/athletics-and-fitness/|https://nuhuskies.com/#:~:text=McDermid%20Earns%20Hockey%20East%20Rookie,Official,Athletics_Varsity_Sports
Athletics,Intramural ,"University Recreation Intramural Sports programs allow the campus community to participate in a variety of different tournaments and leagues. With both team and individual sports like flag football, softball, soccer, broomball, badminton, floor hockey, and volleyball, there really is something for everybody.  Within each sport, leagues will be offered to accommodate the recreational playstyles and skill levels of all student participants.

Intramural Sports offers several different types of league play. The two most featured are Open Leagues and All Gender Leagues. Open leagues have no set parameters for who can participate on the field or court, and are often our most competitive leagues. All Gender leagues (formerly known as “Co-Rec”) have sport-specific parameters that require a ratio of different gender-identifying participants competing at once. Please consult the handbook of each sport for further guidance and clarification. All rules and registration information can be found on IMLeagues at https://www.imleagues.com/Northeastern

Our events give students opportunities to improve and enhance leadership and social skills in a fast-paced, competitive, and fun environment. In providing these tournaments and leagues, the University Recreation Intramural Sports programs continue to promote healthy lifestyles and wellness, provide an environment that allows for competition amongst peers, and ensures fun experiences for the entire campus community.",https://recreation.northeastern.edu/intramural-sports/,Official,Athletics_Intramural
Athletics,Signature_Events,Cheer on Northeastern’s men’s and women’s ice hockey as they go for the Beanpot or catch a basketball game at historic Matthews Arena. Our teams are among the most successful in New England and host some of the biggest collegiate events each year. #HowlinHuskies!,https://admissions.northeastern.edu/student-life/athletics-and-fitness/,Official,Athletics_Signature_Events
Athletics,Contact_Info,"Athletic Department
360 Huntington Avenue
219 Cabot Center
Boston, Mass. 02115

Athletic Department Phone: (617) 373-2672
Athletic Department Fax: (617) 373-8988
Ticket Office: (617) 373-6785
Howlin' Huskies Fund: (617) 373-2523
",https://nuhuskies.com/staff-directory,Official,Athletics_Contact_Info
