Group,SubGroup,Information Text,Source(url),Source_Type,Lookup_Key
Dining/food,Dining_Halls,"Dining Hall Locations:
Campus Roots at 60 Belvidere
Outtakes at Stetson West (10 points/meal)
The Eatery at Stetson East
The Market at 60 Belvidere Street ($14/meal swipe)
United Table at International Village",https://huskycard.northeastern.edu/dining-halls/,Official,Dining_food_Dining_Halls
Dining/food,Retail_Dining,"Retail Dining Locations:
Choolaah (Curry Student Center)
D’Angelo’s (Curry Student Center)
Dunkin’ (Hayden Hall, Shillman Hall)
Equator Coffees at Snell Library
Faculty Club (EXP)
The Halal Shack (Curry Student Center)
Juicygreens (International Village South)
Kigo Kitchen (Curry Student Center)
the Market at Curry Student Center
Modern Market (Churchill Hall)
Popeyes (Curry Student Center)
Sal’s Pizza (Curry Student Center)
Starbucks (Curry Student Center, Churchill Hall)
Subway (Ryder Hall)
Anna’s Taqueria (Marino Center)
Fuel America (ISEC)
Saxbys (EXP)
Tatte Bakery and Cafe (Marino Center)
Wollaston’s Market (Marino Center, West Village B)",https://huskycard.northeastern.edu/dining-halls/,Official,Dining_food_Retail_Dining
Dining/food,Allergy_Info,"Dining locations strive to suit every student’s needs. All food allergies and special food requests should be disclosed to a Northeastern Dining Administrator prior to each term. Please contact the campus Registered Dietician team at nudietitians@northeastern.edu for questions or concerns regarding menus, allergies, or for information on navigating resources.
Medical concerns regarding dining and meal plan requirements must be registered through the Disability Access Services in Boston or Oakland for review. Religious concerns must be submitted to the Center for Spirituality, Dialogue, & Service for review.
For religious-related dietary restrictions, please reach out to the Center for Spirituality, Dialogue, and Service at csdsaccommodations@northeastern.edu to initiate their review process. Once submitted through CSDS, conversations with Northeastern Dining’s Dietitian team and CSDS Spiritual Advisors and staff will be scheduled.  ",https://huskycard.northeastern.edu/meal-plan-policies-2024/?utm_source=chatgpt.com,Official,Dining_food_Allergy_Info
Dining/food,Contact_Info,"Boston
4 Speare Commons - Lower Level
Mon-Fri 8:30 AM — 4:30 PM
617.373.8740 (EST)
huskycard@northeastern.edu
mealplan@northeastern.edu nudietitians@northeastern.edu",https://huskycard.northeastern.edu/on-campus-vendors/,Official,Dining_food_Contact_Info
Dining/food,Plan_Options_And_Cost,"Northeastern University offers several meal plans aimed at suiting a variety of student needs. Experience the best of Northeastern Dining every day with the meal plan that works best for you! All first-year students living in University Housing are required to be enrolled in a traditional meal plan as well as continuing students (second-year and above) living in meal plan required housing.  All other full-time, actively enrolled students have the option to enroll in any of the Traditional Meal Plans or Community Meal Plans of their choosing.
Meal Plan Rates Fall 2025 and Spring 2026 (per semester costs)
Plan: NU – Unlimited | Cost: $4,450  | Dining Dollars:	$400  | Guest Passes: 10
Plan: NU – 225  | Cost: $4,450  | Dining Dollars: $600 | Guest Passes: 10
Plan: NU – 180 | Cost: $3,935  | Dining Dollars: $300  | Guest Passes: 10
Plan: NU – 150 | Cost: $3,465  | Dining Dollars:: $200 | Guest Passes: 10
Plan: NU – 100 | Cost: $2,800  | Dining Dollars: $200  | Guest Passes: 10
Community Meal Plans: offer convenience with a cost-effective way to experience the best of dining – all for our continuing and graduate students who are no longer required to be on a meal plan. 
Plan: CP – 80	| Cost: $1,460
Plan: CP – 60	| Cost: $1,105
Plan: CP – 40	| Cost: $740
Plan: CP – 20	| Cost: $375",https://huskycard.northeastern.edu/meal-plan/|https://huskycard.northeastern.edu/traditional-meal-plans/|https://huskycard.northeastern.edu/boston-community-plans/,Official,Dining_food_Plan_Options_And_Cost
Housing,Housing_Cost,"First-year housing costs vary depending on building style and room type. For traditional-style halls, single rooms are the most expensive at $6,510 per semester (or $5,680 in Kerr Hall), while double rooms run $5,680, triples around $5,205–$5,315, and economy options (economy doubles, triples, and quads) range from $4,220 to $4,555 — making them the most affordable choices.
For suite-style housing, International Village and East Village charge $7,275 for a single bedroom (the highest rate available), $6,220 for double bedrooms, and $5,315 for triple bedrooms. East Village single bedrooms are reserved exclusively for students with documented housing accommodations.
153 Hemenway stands out as offering some of the widest range of options, from a $5,680 double room down to a $4,220 economy quad. Hastings Hall only offers single and double rooms at $6,510 and $5,680 respectively.
All rates are charged per semester, and all first-year housing is meal plan required. Students in traditional halls (no kitchens) must have at least the 180 Meal Plan, while those in apartment-style buildings need at least the 150 Meal Plan. Room assignments, buildings, and pricing are all subject to change at the university's discretion. For Upperclassmen, Apartment-Style Housing is the most common option and spans three tiers. Enhanced apartments (typically featuring living rooms, central air, and elevator access) run $7,475 for a single bedroom and $6,315 for a double. Standard apartments (with living rooms but fewer amenities) are $6,840 for a single and $5,480 for a double. Economy apartments (no living room) come in at $5,815 for a single. Studio apartments — where the bedroom and living area are combined — range from $9,075–$9,295 for a single studio and around $6,840 for a double studio, though some studio singles are reserved exclusively for students with documented housing accommodations.
Suite-Style Housing includes Enhanced and Standard options. Enhanced suites at buildings like Davenport Commons, West Village, and East Village are the priciest non-studio option at $8,855 for a single bedroom and $7,720 for a double. Standard suites (International Village, East Village) run $7,275 for a single down to $5,315 for a triple bedroom.
Traditional-Style Housing (shared floor bathrooms, meal plan required) is the most affordable upperclassman option, with Hastings Hall offering singles at $6,510 and doubles at $5,680. The Fairwoods offers the lowest rate on the entire chart at $4,725 for a triple bedroom.
Leased Properties (LP) function like university-owned buildings for billing purposes but lack Husky Card access and require students to arrange their own internet. They span all price tiers depending on the specific property.
Continuing students in meal-plan-required buildings need at least the 100 Meal Plan, while first-year students in those buildings need the 180 Meal Plan minimum.                                                                                                                                                  ",https://housing.northeastern.edu/rates/,Official,Housing_Housing_Cost
Housing,Layout_Info,"Each room comes with a bed frame, mattress (twin XL), desk, desk chair and dresser
Since each room is unique, we are unable to provide square footage/measurements of individual rooms
All Northeastern University housing is smoke-free
Common community spaces, in most halls, can be used for studying, group projects or student activities Traditional Style accommodations are corridor rooms with shared communal bathrooms. These accommodations are historically filled with traditional First Year Boston students. Suite Style accommodations are bedrooms that share or are adjoined by a private bath. While some of our first year students live in suite-style housing accommodations, suite style housing makes up a large portion of our continuing student housing stock. Apartment Style accommodations have kitchens and in unit bathrooms. Many continuing students live in apartment style housing, as well as some returning NUin students. ",https://housing.northeastern.edu/university-housing/,Official,Housing_Layout_Info
Housing,Off_Campus,"Off Campus Engagement and Support (OCES) at Northeastern provides educational programming and engagement opportunities to learners living off campus in Boston and throughout Northeastern’s network. We are dedicated to connecting students to their community, fostering campus engagement, and providing education and resources to support students in Boston’s neighborhoods.  ",https://offcampus.housing.northeastern.edu/get-involved/about/,Official,Housing_Off_Campus
Housing ,Contact_Info,"housing@northeastern.edu
617-373-2814",https://housing.northeastern.edu/,Official,Housing_Contact_Info
Student_Amenities/Activities,Gym,"The Marino Recreation Center and the SquashBusters Center are the main recreational facilities at Northeastern University.  Additionally the following shared facilities are also for recreational use:

The Cabot Center, which houses the swimming pool, indoor cage, and raquetball courts
Matthews Arena, for open skate and Intramural Sports use
Carter Field, for Intramural Sports
Wiffleball Field
Sand Volleyball Court",https://recreation.northeastern.edu/facilities-hours/,Official,Student_Amenities_Activities_Gym
